Unit,Operational Cost
Aqaba1,12.216000000000005
Aqaba2,12.216000000000005
Risha,2443.9305000000027
Rehab,2483.9144999999976
RehabCC,58.32
Samra1,2.626560000000001
Samra2,2.626560000000001
Amman-East,398504.10756000015
Qatranah,70331.30310000002
Samra3,555826.3113599996
IPP3,5894.074500000002
IPP4,2514.029999999999
Samra4,55858.67856
Zarqa-ACWA,488129.59499999974
wind,0.0
pv,0.0
hydro,0.0
phs,2000.0
