,phs,demand
0,0.0,1521.008271135
1,0.0,1521.008271135
2,0.0,1442.3354295274905
3,0.0,1363.6625879169
4,0.0,1337.438307380037
5,0.0,1416.1111489906275
6,0.0,1389.8868684537645
7,0.0,1416.1111489906275
8,0.0,1573.456832205
9,0.0,1547.23255167
10,0.0,1573.456832205
11,0.0,1625.9053932900001
12,0.0,1652.129673825
13,0.0,1625.9053932900001
14,0.0,1625.9053932900001
15,0.0,1678.35395436
16,0.0,1809.47535705
17,0.0,1888.148198655
18,0.0,1809.47535705
19,0.0,1704.578234895
20,0.0,1678.35395436
21,0.0,1678.35395436
22,0.0,1573.456832205
23,0.0,1494.783990601218
